FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7542,POINT (26.261388888888888 11.0075),ABU NUANI,110027,11.0075,0261541,26.261389,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7543,POINT (26.29861111111111 11.001388888888888),,110005,11.001389,0261755,26.298611,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7544,POINT (26.20611111111111 10.946111111111112),,105646,10.946111,0261222,26.206111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7545,POINT (26.202222222222222 10.985833333333334),ABU MATARIQ,105909,10.985833,0261208,26.202222,NO DAMAGE,Secondary Town,,0,0,0,0,1
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7546,POINT (26.234444444444446 11.006944444444445),,110025,11.006944,0261404,26.234444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7547,POINT (25.858888888888888 10.890277777777778),,105325,10.890278,0255132,25.858889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7548,POINT (25.786944444444444 10.963888888888889),,105750,10.963889,0254713,25.786944,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7549,POINT (25.83277777777778 10.971111111111112),,105816,10.971111,0254958,25.832778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7550,POINT (25.866944444444446 10.957222222222223),,105726,10.957222,0255201,25.866944,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7551,POINT (25.808888888888887 10.900833333333333),,105403,10.900833,0254832,25.808889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7552,POINT (25.864444444444445 10.817777777777778),,104904,10.817778,0255152,25.864444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7553,POINT (25.8725 10.786388888888888),,104711,10.786389,0255221,25.8725,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7554,POINT (25.84 10.810833333333333),,104839,10.810833,0255024,25.84,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7555,POINT (26.413055555555555 10.96111111111111),SIBDU,105740,10.961111,0262447,26.413056,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7556,POINT (26.381666666666668 10.987777777777778),,105916,10.987778,0262254,26.381667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7557,POINT (26.33277777777778 10.966944444444444),,105801,10.966944,0261958,26.332778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7558,POINT (26.356944444444444 10.964166666666667),,105751,10.964167,0262125,26.356944,NO DAMAGE,,,0,0,0,0,
